Month,mandela effect: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,1
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,1
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,1
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,1
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,1
2014-08,0
2014-09,0
2014-10,1
2014-11,0
2014-12,1
2015-01,0
2015-02,1
2015-03,1
2015-04,0
2015-05,1
2015-06,1
2015-07,2
2015-08,8
2015-09,10
2015-10,5
2015-11,5
2015-12,5
2016-01,6
2016-02,5
2016-03,5
2016-04,6
2016-05,11
2016-06,27
2016-07,20
2016-08,100
2016-09,52
2016-10,91
2016-11,79
2016-12,65
2017-01,59
2017-02,44
2017-03,42
2017-04,50
2017-05,49
2017-06,35
2017-07,37
2017-08,34
2017-09,33
2017-10,35
2017-11,33
2017-12,34
2018-01,38
2018-02,37
2018-03,34
2018-04,32
2018-05,31
2018-06,19
2018-07,21
2018-08,27
2018-09,32
2018-10,20
2018-11,19
2018-12,29
2019-01,33
2019-02,27
2019-03,23
2019-04,25
2019-05,19
2019-06,15
2019-07,21
2019-08,27
2019-09,19
2019-10,25
2019-11,23
2019-12,26
