Month,shazaam: (United States),kazaam: (United States)
2004-01,12,15
2004-02,9,29
2004-03,15,22
2004-04,11,14
2004-05,10,26
2004-06,10,16
2004-07,5,11
2004-08,7,12
2004-09,9,9
2004-10,9,35
2004-11,10,15
2004-12,4,13
2005-01,4,21
2005-02,4,14
2005-03,5,17
2005-04,12,16
2005-05,5,29
2005-06,4,9
2005-07,9,30
2005-08,7,12
2005-09,5,6
2005-10,7,13
2005-11,10,3
2005-12,3,18
2006-01,4,14
2006-02,3,8
2006-03,7,13
2006-04,4,11
2006-05,7,15
2006-06,5,6
2006-07,9,7
2006-08,0,13
2006-09,7,31
2006-10,3,15
2006-11,5,7
2006-12,4,9
2007-01,3,8
2007-02,6,12
2007-03,6,7
2007-04,4,6
2007-05,6,11
2007-06,10,11
2007-07,8,7
2007-08,3,6
2007-09,5,9
2007-10,6,5
2007-11,5,5
2007-12,5,7
2008-01,7,8
2008-02,8,17
2008-03,4,16
2008-04,5,4
2008-05,7,5
2008-06,9,9
2008-07,13,10
2008-08,11,6
2008-09,7,6
2008-10,10,13
2008-11,18,8
2008-12,16,12
2009-01,14,6
2009-02,9,6
2009-03,10,17
2009-04,10,16
2009-05,8,20
2009-06,22,13
2009-07,14,12
2009-08,12,14
2009-09,7,12
2009-10,9,8
2009-11,11,15
2009-12,13,8
2010-01,9,14
2010-02,15,16
2010-03,12,13
2010-04,9,12
2010-05,15,17
2010-06,14,16
2010-07,13,12
2010-08,14,10
2010-09,15,13
2010-10,10,10
2010-11,13,8
2010-12,14,14
2011-01,15,11
2011-02,16,10
2011-03,14,11
2011-04,10,9
2011-05,12,12
2011-06,12,32
2011-07,9,16
2011-08,14,11
2011-09,10,9
2011-10,16,11
2011-11,11,14
2011-12,12,20
2012-01,13,18
2012-02,16,18
2012-03,9,18
2012-04,12,23
2012-05,14,21
2012-06,14,20
2012-07,13,15
2012-08,9,14
2012-09,9,11
2012-10,10,13
2012-11,7,11
2012-12,8,9
2013-01,8,9
2013-02,8,10
2013-03,8,15
2013-04,6,13
2013-05,8,23
2013-06,7,14
2013-07,9,14
2013-08,6,23
2013-09,7,9
2013-10,7,18
2013-11,8,14
2013-12,7,11
2014-01,6,12
2014-02,8,13
2014-03,7,17
2014-04,7,15
2014-05,5,12
2014-06,13,12
2014-07,9,12
2014-08,9,17
2014-09,10,11
2014-10,7,13
2014-11,7,7
2014-12,9,12
2015-01,9,9
2015-02,6,10
2015-03,7,9
2015-04,8,17
2015-05,7,15
2015-06,8,13
2015-07,8,18
2015-08,6,13
2015-09,7,12
2015-10,6,15
2015-11,6,7
2015-12,5,12
2016-01,7,27
2016-02,5,14
2016-03,6,12
2016-04,7,15
2016-05,6,18
2016-06,5,22
2016-07,5,14
2016-08,6,12
2016-09,6,14
2016-10,5,15
2016-11,8,13
2016-12,85,60
2017-01,100,70
2017-02,15,28
2017-03,15,23
2017-04,25,22
2017-05,22,26
2017-06,18,22
2017-07,18,23
2017-08,13,20
2017-09,14,17
2017-10,13,15
2017-11,18,27
2017-12,16,20
2018-01,14,16
2018-02,13,18
2018-03,12,22
2018-04,12,17
2018-05,18,19
2018-06,13,22
2018-07,22,33
2018-08,14,33
2018-09,12,38
2018-10,10,28
2018-11,9,18
2018-12,16,24
2019-01,17,26
2019-02,14,28
2019-03,41,57
2019-04,75,60
2019-05,24,40
2019-06,23,28
2019-07,29,36
2019-08,20,26
2019-09,14,19
2019-10,10,16
2019-11,12,28
2019-12,17,24
