Month,luke i am your father: (Worldwide),no i am your father: (Worldwide)
2004-01,9,0
2004-02,17,0
2004-03,0,0
2004-04,0,0
2004-05,7,0
2004-06,7,0
2004-07,11,7
2004-08,7,0
2004-09,6,6
2004-10,9,0
2004-11,6,0
2004-12,12,0
2005-01,9,0
2005-02,5,5
2005-03,7,0
2005-04,12,13
2005-05,38,4
2005-06,9,9
2005-07,4,0
2005-08,7,0
2005-09,4,0
2005-10,5,4
2005-11,6,4
2005-12,7,4
2006-01,6,6
2006-02,6,3
2006-03,7,3
2006-04,8,3
2006-05,9,3
2006-06,8,0
2006-07,7,3
2006-08,5,0
2006-09,13,0
2006-10,4,2
2006-11,6,2
2006-12,7,2
2007-01,4,3
2007-02,7,2
2007-03,7,0
2007-04,7,0
2007-05,5,2
2007-06,5,2
2007-07,8,4
2007-08,2,3
2007-09,4,2
2007-10,5,2
2007-11,7,2
2007-12,7,1
2008-01,7,1
2008-02,5,1
2008-03,6,1
2008-04,10,1
2008-05,5,0
2008-06,6,2
2008-07,7,2
2008-08,5,0
2008-09,8,1
2008-10,4,2
2008-11,6,1
2008-12,6,0
2009-01,6,4
2009-02,5,1
2009-03,6,2
2009-04,6,1
2009-05,13,2
2009-06,10,2
2009-07,9,1
2009-08,8,2
2009-09,9,1
2009-10,6,1
2009-11,9,1
2009-12,8,2
2010-01,6,1
2010-02,8,3
2010-03,11,2
2010-04,7,1
2010-05,11,4
2010-06,8,3
2010-07,12,2
2010-08,10,2
2010-09,11,1
2010-10,8,1
2010-11,10,2
2010-12,13,1
2011-01,9,3
2011-02,12,2
2011-03,10,2
2011-04,12,2
2011-05,11,2
2011-06,15,3
2011-07,12,2
2011-08,11,3
2011-09,14,4
2011-10,20,3
2011-11,14,2
2011-12,16,4
2012-01,14,5
2012-02,19,5
2012-03,60,5
2012-04,30,4
2012-05,24,3
2012-06,18,4
2012-07,15,4
2012-08,14,2
2012-09,16,3
2012-10,15,4
2012-11,19,2
2012-12,17,2
2013-01,16,3
2013-02,16,2
2013-03,15,3
2013-04,14,5
2013-05,21,4
2013-06,18,5
2013-07,14,4
2013-08,13,4
2013-09,15,3
2013-10,13,4
2013-11,15,3
2013-12,15,3
2014-01,19,4
2014-02,17,3
2014-03,15,4
2014-04,15,4
2014-05,18,3
2014-06,16,4
2014-07,13,3
2014-08,15,2
2014-09,12,3
2014-10,14,3
2014-11,12,4
2014-12,19,4
2015-01,14,4
2015-02,13,2
2015-03,11,3
2015-04,17,4
2015-05,17,3
2015-06,16,3
2015-07,12,3
2015-08,17,3
2015-09,21,6
2015-10,30,6
2015-11,35,6
2015-12,100,16
2016-01,42,7
2016-02,25,9
2016-03,14,4
2016-04,21,5
2016-05,21,5
2016-06,24,5
2016-07,21,5
2016-08,35,7
2016-09,31,6
2016-10,36,7
2016-11,37,7
2016-12,48,9
2017-01,36,8
2017-02,28,7
2017-03,23,6
2017-04,28,6
2017-05,39,13
2017-06,25,7
2017-07,24,6
2017-08,22,6
2017-09,18,5
2017-10,26,5
2017-11,23,6
2017-12,47,9
2018-01,26,6
2018-02,22,5
2018-03,21,6
2018-04,24,5
2018-05,26,7
2018-06,22,5
2018-07,18,4
2018-08,17,4
2018-09,17,3
2018-10,16,4
2018-11,18,5
2018-12,17,3
2019-01,16,5
2019-02,16,5
2019-03,16,5
2019-04,15,4
2019-05,17,4
2019-06,16,3
2019-07,15,4
2019-08,14,3
2019-09,14,4
2019-10,13,4
2019-11,24,5
2019-12,27,5
